@relation snake_game

@attribute snake_pos_x NUMERIC
@attribute snake_pos_y NUMERIC
@attribute snake_pos_x_next NUMERIC
@attribute snake_pos_y_next NUMERIC
@attribute food_pos_x NUMERIC
@attribute food_pos_y NUMERIC
@attribute food_side_y {UP, DOWN, EQUAL}
@attribute food_side_x {RIGHT, LEFT, EQUAL}
@attribute manhattan_distance NUMERIC
@attribute next_manhattan_distance NUMERIC
@attribute large_snake NUMERIC
@attribute right_safe {True, False}
@attribute left_safe {True, False}
@attribute up_safe {True, False}
@attribute down_safe {True, False}
@attribute cycle {True, False}
@attribute body_indirection {True, False}
@attribute previous_direction {UP, DOWN, LEFT, RIGHT}
@attribute direction {UP, DOWN, LEFT, RIGHT}
@attribute score NUMERIC
@attribute next_score NUMERIC

@data
180,110,170,110,80,350,DOWN,LEFT,340,330,6,True,True,True,False,False,False,UP,LEFT,215,214
180,110,170,110,80,350,DOWN,LEFT,340,330,6,True,True,True,False,False,False,LEFT,LEFT,215,214
170,110,160,110,80,350,DOWN,LEFT,330,320,6,False,True,True,True,False,False,LEFT,LEFT,214,213
170,110,160,110,80,350,DOWN,LEFT,330,320,6,False,True,True,True,False,False,LEFT,LEFT,214,213
160,110,150,110,80,350,DOWN,LEFT,320,310,6,False,True,True,True,False,False,LEFT,LEFT,213,212
160,110,150,110,80,350,DOWN,LEFT,320,310,6,False,True,True,True,False,False,LEFT,LEFT,213,212
150,110,140,110,80,350,DOWN,LEFT,310,300,6,False,True,True,True,False,False,LEFT,LEFT,212,211
150,110,140,110,80,350,DOWN,LEFT,310,300,6,False,True,True,True,False,False,LEFT,LEFT,212,211
140,110,130,110,80,350,DOWN,LEFT,300,290,6,False,True,True,True,False,False,LEFT,LEFT,211,210
140,110,130,110,80,350,DOWN,LEFT,300,290,6,False,True,True,True,False,False,LEFT,LEFT,211,210
130,110,120,110,80,350,DOWN,LEFT,290,280,6,False,True,True,True,False,False,LEFT,LEFT,210,209
130,110,120,110,80,350,DOWN,LEFT,290,280,6,False,True,True,True,False,False,LEFT,LEFT,210,209
120,110,110,110,80,350,DOWN,LEFT,280,270,6,False,True,True,True,False,False,LEFT,LEFT,209,208
120,110,110,110,80,350,DOWN,LEFT,280,270,6,False,True,True,True,False,False,LEFT,LEFT,209,208
110,110,100,110,80,350,DOWN,LEFT,270,260,6,False,True,True,True,False,False,LEFT,LEFT,208,207
